word,phon_klattese,nSyll,polysyll,nonInitialPrimaryStress,SUBTLwf,#NAME?,SUBTLWF0to10,fam,conc,imag
border,bcˈr-dR,2,0,0,17.17647059,-0.003389473,9.966105273,489,444,453
borderline,bcˈr-dR-lYˌn,3,1,0,1.588235294,-0.396433471,6.035665295,,,
borders,bcˈr-dRz,2,0,0,2.803921569,-0.127194484,8.728055162,,,
bore,bcˈr,1,0,0,7.745098039,-0.016670405,9.833295946,543,344,404
bored,bcˈrd,1,0,0,20.17647059,-0.002456459,9.975435405,,,
boredom,bcˈr-d^m,2,0,0,2.137254902,-0.218920966,7.810790338,527,262,406
borg,bcˈrg,1,0,0,1.470588235,-0.4624,5.376,,,
boring,bcˈ-rIG,2,0,0,27.41176471,-0.001330841,9.986691595,590,,390
born,bcˈrn,1,0,0,83.68627451,-0.000142788,9.998572121,566,336,435
borne,bcˈrn,1,0,0,1.019607843,-0.961908284,0.38091716,380,324,346
borough,bRˈ-oˌ,2,0,0,1.176470588,-0.7225,2.775,,,
borrow,baˈ-roˌ,2,0,0,29.31372549,-0.001163745,9.988362546,,,
borrowed,baˈ-roˌd,2,0,0,10.17647059,-0.009656186,9.903438137,,,
borrowing,baˈ-ro-IG,3,1,0,2.882352941,-0.120366514,8.79633486,,,
bosom,bUˈ-z^m,2,0,0,3.117647059,-0.102883588,8.971164115,425,552,593
boss,baˈs,1,0,0,124.2941176,-6.47E-05,9.99935271,574,552,554
bosses,bcˈ-sIz,2,0,0,4.37254902,-0.052303485,9.476965151,,,
bossy,bcˈ-si,2,0,0,1.745098039,-0.32836763,6.716323697,,,
boston,baˈ-st^n,2,0,0,24.01960784,-0.001733278,9.982667222,,,
botanical,b^-t@ˈ-nI-k^l,4,1,1,1.039215686,-0.925952296,0.740477038,,,
botched,baˈCt,1,0,0,1.137254902,-0.773186683,2.268133175,,,
both,boˈT,1,0,0,295.3333333,-1.15E-05,9.99988535,598,322,298
bother,baˈ-DR,2,0,0,67.37254902,-0.00022031,9.997796901,583,267,369
bothered,baˈ-DRd,2,0,0,10.41176471,-0.00922468,9.9077532,,,
bothering,baˈ-DR-IG,3,1,0,17.98039216,-0.003093155,9.96906845,,,
bothers,baˈ-DRz,2,0,0,7.352941176,-0.018496,9.81504,,,
bottle,baˈ-t^l,2,0,0,50.74509804,-0.00038834,9.996116603,591,591,619
bottled,baˈ-t^ld,2,0,0,2.607843137,-0.147040534,8.529594663,,,
bottles,baˈ-t^lz,2,0,0,13.37254902,-0.005592057,9.944079428,,,
bottom,baˈ-t^m,2,0,0,49.92156863,-0.000401258,9.995987421,587,,436
bottoms,baˈ-t^mz,2,0,0,3.588235294,-0.077667294,9.223327063,,,
bought,baˈt,1,0,0,85.52941176,-0.0001367,9.998632998,,,
boulder,boˈl-dR,2,0,0,2.078431373,-0.231488074,7.68511926,495,597,614
boulevard,bUˈ-l^-vaˌrd,3,1,0,5.176470588,-0.037319215,9.626807851,,,
bounce,bWˈns,1,0,0,9.843137255,-0.010321265,9.896787353,,,
bounced,bWˈnst,1,0,0,2.960784314,-0.114073944,8.859260559,,,
bouncer,bWˈn-sR,2,0,0,1.588235294,-0.396433471,6.035665295,,,
bouncing,bWˈn-sIG,2,0,0,4.254901961,-0.05523583,9.4476417,,,
bouncy,bWˈn-si,2,0,0,1.784313725,-0.314092501,6.859074991,,,
bound,bWˈnd,1,0,0,18.43137255,-0.00294364,9.970563603,,,
boundaries,bWˈn-dR-iz,3,1,0,3.705882353,-0.072814311,9.271856891,,,
boundary,bWˈn-dR-i,3,1,0,1.352941176,-0.5463138,4.536862004,481,411,435
bounds,bWˈndz,1,0,0,2.254901961,-0.196672968,8.033270321,,,
bounty,bWˈn-ti,2,0,0,7.176470588,-0.019416823,9.805831766,,,
bouquet,bu-keˈ,2,0,1,3.215686275,-0.09670583,9.032941701,473,566,599
bourbon,bRˈ-b^n,2,0,0,6.254901961,-0.02555989,9.744401097,531,570,606
bourgeois,bUr-Zwaˈ,2,0,1,1.176470588,-0.7225,2.775,,,
bourne,bcˈrn,1,0,0,1.176470588,-0.7225,2.775,,,
bout,bWˈt,1,0,0,19.09803922,-0.002741716,9.972582842,,,
boutique,bu-tiˈk,2,0,1,1.078431373,-0.859834711,1.401652893,,,
bow,bWˈ,1,0,0,20.2745098,-0.00243276,9.9756724,489,572,546
